date,time,voltage,capacity
2022-01-10,23:07:03.775762,3975.0,77.648396
2022-01-10,23:08:03.837699,3972.5,77.484344
2022-01-10,23:09:03.899641,3972.5,77.324198
2022-01-10,23:10:03.961590,3971.25,77.160146
2022-01-10,23:11:04.015766,3970.0,76.99603
2022-01-10,23:12:04.077716,3968.75,76.831978
2022-01-10,23:13:04.095762,3967.5,76.671832
2022-01-10,23:14:04.113164,3966.25,76.50778
2022-01-10,23:15:04.175108,3965.0,76.343728
2022-01-10,23:16:04.237049,3965.0,76.179676
2022-01-10,23:17:04.255763,3962.5,76.01953
2022-01-10,23:18:04.315778,3962.5,75.855414
2022-01-10,23:19:04.377715,3960.0,75.691362
2022-01-10,23:20:04.439563,3960.0,75.52731
2022-01-10,23:21:04.495767,3958.75,75.367164
2022-01-10,23:22:04.557650,3957.5,75.203112
2022-01-10,23:23:04.619506,3956.25,75.03906
2022-01-10,23:24:04.681439,3955.0,74.874944
2022-01-10,23:25:04.735753,3953.75,74.874944
2022-01-10,23:26:04.797714,3951.25,74.710892
2022-01-10,23:27:04.859670,3950.0,74.54684
2022-01-10,23:28:04.921673,3945.0,74.382788
2022-01-10,23:29:04.975783,3947.5,74.218736
2022-01-10,23:30:05.037743,3948.75,74.054684
2022-01-10,23:31:05.099695,3946.25,73.890568
2022-01-10,23:32:05.161660,3946.25,73.726516
2022-01-10,23:33:05.223616,3942.5,73.562464
2022-01-10,23:34:05.285608,3940.0,73.398412
2022-01-10,23:35:05.347561,3942.5,73.23436
2022-01-10,23:36:05.409501,3936.25,73.070308
2022-01-10,23:37:05.471449,3940.0,72.906192
2022-01-10,23:38:05.533403,3940.0,72.74214
2022-01-10,23:39:05.595352,3938.75,72.578088
2022-01-10,23:40:05.638933,3937.5,72.578088
2022-01-10,23:41:05.646333,3936.25,72.414036
2022-01-10,23:42:05.695756,3935.0,72.249984
2022-01-10,23:43:05.757708,3933.75,72.085932
2022-01-10,23:44:05.775779,3932.5,71.921816
2022-01-10,23:45:05.837733,3932.5,71.757764
2022-01-10,23:46:05.855778,3930.0,71.593712
2022-01-10,23:47:05.917737,3930.0,71.42966
2022-01-10,23:48:05.979687,3928.75,71.265608
2022-01-10,23:49:06.041647,3927.5,71.101556
2022-01-10,23:50:06.095771,3926.25,70.93744
2022-01-10,23:51:06.157726,3925.0,70.773388
2022-01-10,23:52:06.219659,3925.0,70.773388
2022-01-10,23:53:06.281604,3922.5,70.609336
2022-01-10,23:54:06.335758,3922.5,70.445284
2022-01-10,23:55:06.397720,3920.0,70.281232
2022-01-10,23:56:06.459661,3920.0,70.11718
2022-01-10,23:57:06.521597,3918.75,69.953064
2022-01-10,23:58:06.575765,3917.5,69.789012
2022-01-10,23:59:06.637723,3917.5,69.62496
2022-01-11,00:00:06.699667,3915.0,69.460908
2022-01-11,00:01:06.761614,3915.0,69.296856
2022-01-11,00:02:06.815775,3912.5,69.132804
2022-01-11,00:03:06.821014,3912.5,69.132804
2022-01-11,00:04:06.879782,3911.25,68.968688
2022-01-11,00:05:06.895764,3910.0,68.804636
2022-01-11,00:06:06.957725,3908.75,68.640584
2022-01-11,00:07:06.975790,3907.5,68.476532
2022-01-11,00:08:07.037736,3906.25,68.31248
2022-01-11,00:09:07.099693,3905.0,68.167958
2022-01-11,00:10:07.161645,3905.0,68.023436
2022-01-11,00:11:07.205767,3902.5,67.87885
2022-01-11,00:12:07.267721,3902.5,67.734328
2022-01-11,00:13:07.295767,3901.25,67.589806
2022-01-11,00:14:07.357716,3900.0,67.445284
2022-01-11,00:15:07.419652,3900.0,67.300762
2022-01-11,00:16:07.481592,3897.5,67.15624
2022-01-11,00:17:07.535755,3897.5,67.011718
2022-01-11,00:18:07.597705,3895.0,66.867132
2022-01-11,00:19:07.645775,3895.0,66.72261
2022-01-11,00:20:07.707727,3893.75,66.72261
2022-01-11,00:21:07.769674,3892.5,66.578088
2022-01-11,00:22:07.831626,3891.25,66.433566
2022-01-11,00:23:07.865766,3890.0,66.289044
2022-01-11,00:24:07.878470,3890.0,66.144522
2022-01-11,00:25:07.935763,3887.5,66.0
2022-01-11,00:26:07.997699,3887.5,65.855414
2022-01-11,00:27:08.059651,3886.25,65.710892
2022-01-11,00:28:08.121609,3885.0,65.56637
2022-01-11,00:29:08.175766,3883.75,65.421848
2022-01-11,00:30:08.237714,3882.5,65.277326
2022-01-11,00:31:08.299665,3882.5,65.132804
2022-01-11,00:32:08.361675,3880.0,64.988218
2022-01-11,00:33:08.415766,3880.0,64.988218
2022-01-11,00:34:08.477720,3878.75,64.843696
2022-01-11,00:35:08.539676,3877.5,64.699174
2022-01-11,00:36:08.601632,3876.25,64.554652
2022-01-11,00:37:08.655764,3875.0,64.41013
2022-01-11,00:38:08.717726,3875.0,64.265608
2022-01-11,00:39:08.779668,3872.5,64.121086
2022-01-11,00:40:08.841622,3872.5,63.9765
2022-01-11,00:41:08.895792,3871.25,63.831978
2022-01-11,00:42:08.955798,3870.0,63.687456
2022-01-11,00:43:09.015641,3870.0,63.687456
2022-01-11,00:44:09.075593,3867.5,63.542934
2022-01-11,00:45:09.137275,3867.5,63.398412
2022-01-11,00:46:09.198832,3865.0,63.25389
2022-01-11,00:47:09.260574,3860.0,63.109368
2022-01-11,00:48:09.322325,3857.5,62.964782
2022-01-11,00:49:09.375458,3855.0,62.82026
2022-01-11,00:50:09.437259,3853.75,62.675738
2022-01-11,00:51:09.445460,3860.0,62.675738
2022-01-11,00:52:09.455773,3857.5,62.531216
2022-01-11,00:53:09.517562,3853.75,62.386694
2022-01-11,00:54:09.535456,3851.25,62.242172
2022-01-11,00:55:09.596949,3847.5,62.09765
2022-01-11,00:56:09.658733,3848.75,61.953064
2022-01-11,00:57:09.720386,3845.0,61.808542
2022-01-11,00:58:09.775768,3850.0,61.66402
2022-01-11,00:59:09.837722,3848.75,61.66402
2022-01-11,01:00:09.899671,3842.5,61.519498
2022-01-11,01:01:09.961616,3850.0,61.374976
2022-01-11,01:02:10.023581,3841.25,61.374976
2022-01-11,01:03:10.085584,3847.5,61.05859
2022-01-11,01:04:10.147520,3842.5,61.05859
2022-01-11,01:05:10.209465,3845.0,60.74214
2022-01-11,01:06:10.271388,3837.5,60.74214
2022-01-11,01:07:10.333316,3843.75,60.74214
2022-01-11,01:08:10.395260,3842.5,60.425754
2022-01-11,01:09:10.457210,3842.5,60.425754
2022-01-11,01:10:10.519149,3840.0,60.109368
2022-01-11,01:11:10.581073,3840.0,60.109368
2022-01-11,01:12:10.643001,3838.75,59.792918
2022-01-11,01:13:10.654602,3837.5,59.792918
2022-01-11,01:14:10.675749,3836.25,59.476532
2022-01-11,01:15:10.685767,3835.0,59.476532
2022-01-11,01:16:10.735752,3835.0,59.160146
2022-01-11,01:17:10.797692,3832.5,59.160146
2022-01-11,01:18:10.859614,3832.5,58.843696
2022-01-11,01:19:10.895760,3831.25,58.843696
2022-01-11,01:20:10.957698,3830.0,58.52731
2022-01-11,01:21:10.975798,3830.0,58.210924
2022-01-11,01:22:11.037740,3827.5,58.210924
2022-01-11,01:23:11.055762,3827.5,57.894474
2022-01-11,01:24:11.117708,3826.25,57.894474
2022-01-11,01:25:11.179656,3825.0,57.578088
2022-01-11,01:26:11.241604,3823.75,57.578088
2022-01-11,01:27:11.303548,3822.5,57.261702
2022-01-11,01:28:11.365555,3822.5,56.945252
2022-01-11,01:29:11.427493,3820.0,56.945252
2022-01-11,01:30:11.489431,3820.0,56.628866
2022-01-11,01:31:11.535769,3818.75,56.628866
2022-01-11,01:32:11.597735,3817.5,56.31248
2022-01-11,01:33:11.659692,3816.25,55.99603
2022-01-11,01:34:11.695758,3815.0,55.99603
2022-01-11,01:35:11.757714,3815.0,55.679644
2022-01-11,01:36:11.819721,3813.75,55.679644
2022-01-11,01:37:11.881671,3812.5,55.363258
2022-01-11,01:38:11.935756,3811.25,55.046872
2022-01-11,01:39:11.997693,3810.0,55.046872
2022-01-11,01:40:12.059638,3810.0,54.730422
2022-01-11,01:41:12.095772,3807.5,54.414036
2022-01-11,01:42:12.157714,3807.5,54.414036
2022-01-11,01:43:12.219662,3806.25,54.09765
2022-01-11,01:44:12.281615,3805.0,54.09765
2022-01-11,01:45:12.343553,3805.0,53.7812
2022-01-11,01:46:12.405540,3802.5,53.464814
2022-01-11,01:47:12.467499,3802.5,53.464814
2022-01-11,01:48:12.529439,3800.0,53.082026
2022-01-11,01:49:12.591378,3800.0,53.082026
2022-01-11,01:50:12.653319,3798.75,52.695268
2022-01-11,01:51:12.715278,3797.5,52.31248
2022-01-11,01:52:12.777211,3797.5,52.31248
2022-01-11,01:53:12.839148,3795.0,51.929628
2022-01-11,01:54:12.901086,3795.0,51.929628
2022-01-11,01:55:12.963027,3793.75,51.54684
2022-01-11,01:56:12.975794,3792.5,51.54684
2022-01-11,01:57:13.037738,3792.5,51.160146
2022-01-11,01:58:13.099678,3790.0,50.777294
2022-01-11,01:59:13.161621,3790.0,50.777294
2022-01-11,02:00:13.215764,3788.75,50.394506
2022-01-11,02:01:13.277710,3787.5,50.394506
2022-01-11,02:02:13.339642,3787.5,50.011718
2022-01-11,02:03:13.401589,3785.0,49.62496
2022-01-11,02:04:13.455764,3785.0,49.62496
2022-01-11,02:05:13.517701,3783.75,49.242172
2022-01-11,02:06:13.579636,3782.5,48.85932
2022-01-11,02:07:13.641591,3782.5,48.85932
2022-01-11,02:08:13.695771,3780.0,48.476532
2022-01-11,02:09:13.757718,3780.0,48.476532
2022-01-11,02:10:13.819674,3778.75,48.089838
2022-01-11,02:11:13.881620,3777.5,47.706986
2022-01-11,02:12:13.935760,3776.25,47.706986
2022-01-11,02:13:13.997715,3775.0,47.324198
2022-01-11,02:14:14.055760,3775.0,46.914004
2022-01-11,02:15:14.117732,3772.5,46.914004
2022-01-11,02:16:14.175768,3772.5,46.503874
2022-01-11,02:17:14.237709,3771.25,46.503874
2022-01-11,02:18:14.295892,3770.0,46.09765
2022-01-11,02:19:14.355778,3768.75,45.687456
2022-01-11,02:20:14.405691,3767.5,45.687456
2022-01-11,02:21:14.467524,3767.5,45.277326
2022-01-11,02:22:14.529255,3766.25,45.277326
2022-01-11,02:23:14.591118,3765.0,44.867132
2022-01-11,02:24:14.653048,3763.75,44.460908
2022-01-11,02:25:14.714992,3762.5,44.460908
2022-01-11,02:26:14.776942,3760.0,44.050778
2022-01-11,02:27:14.838886,3757.5,43.640584
2022-01-11,02:28:14.895777,3756.25,43.640584
2022-01-11,02:29:14.957726,3755.0,43.230454
2022-01-11,02:30:14.975796,3756.25,42.824166
2022-01-11,02:31:15.037736,3751.25,42.824166
2022-01-11,02:32:15.099678,3750.0,42.414036
2022-01-11,02:33:15.161618,3755.0,42.003906
2022-01-11,02:34:15.215765,3752.5,42.003906
2022-01-11,02:35:15.277705,3752.5,41.593712
2022-01-11,02:36:15.339647,3752.5,41.593712
2022-01-11,02:37:15.401589,3751.25,41.187488
2022-01-11,02:38:15.463544,3750.0,40.824166
2022-01-11,02:39:15.525533,3748.75,40.464814
2022-01-11,02:40:15.587540,3747.5,40.464814
2022-01-11,02:41:15.649478,3747.5,40.105462
2022-01-11,02:42:15.711428,3745.0,39.746046
2022-01-11,02:43:15.773382,3745.0,39.382788
2022-01-11,02:44:15.835323,3743.75,39.382788
2022-01-11,02:45:15.897262,3742.5,39.023436
2022-01-11,02:46:15.959219,3742.5,38.66402
2022-01-11,02:47:16.021168,3740.0,38.304668
2022-01-11,02:48:16.083129,3740.0,38.304668
2022-01-11,02:49:16.145095,3738.75,37.941346
2022-01-11,02:50:16.207051,3737.5,37.581994
2022-01-11,02:51:16.268999,3737.5,37.222642
2022-01-11,02:52:16.330947,3735.0,36.863226
2022-01-11,02:53:16.392894,3735.0,36.863226
2022-01-11,02:54:16.454839,3733.75,36.499968
2022-01-11,02:55:16.516792,3732.5,36.140616
2022-01-11,02:56:16.578736,3732.5,35.7812
2022-01-11,02:57:16.640692,3731.25,35.7812
2022-01-11,02:58:16.702639,3730.0,35.421848
2022-01-11,02:59:16.764606,3728.75,35.05859
2022-01-11,03:00:16.826566,3727.5,34.699174
2022-01-11,03:01:16.888511,3727.5,34.699174
2022-01-11,03:02:16.950466,3725.0,34.269514
2022-01-11,03:03:16.975788,3725.0,33.83979
2022-01-11,03:04:17.037738,3723.75,33.83979
2022-01-11,03:05:17.099694,3722.5,33.41013
2022-01-11,03:06:17.125754,3722.5,32.980406
2022-01-11,03:07:17.135764,3721.25,32.980406
2022-01-11,03:08:17.197718,3720.0,32.550746
2022-01-11,03:09:17.259674,3718.75,32.121086
2022-01-11,03:10:17.321634,3717.5,32.121086
2022-01-11,03:11:17.375773,3717.5,31.691362
2022-01-11,03:12:17.437736,3716.25,31.261702
2022-01-11,03:13:17.499679,3715.0,31.261702
2022-01-11,03:14:17.561632,3715.0,30.831978
2022-01-11,03:15:17.615758,3712.5,30.402318
2022-01-11,03:16:17.677714,3712.5,30.402318
2022-01-11,03:17:17.739659,3711.25,29.972594
2022-01-11,03:18:17.801611,3710.0,29.542934
2022-01-11,03:19:17.855763,3710.0,29.542934
2022-01-11,03:20:17.917696,3707.5,29.113274
2022-01-11,03:21:17.979638,3707.5,28.68355
2022-01-11,03:22:18.041603,3707.5,28.68355
2022-01-11,03:23:18.095767,3705.0,28.25389
2022-01-11,03:24:18.157714,3705.0,27.824166
2022-01-11,03:25:18.219661,3703.75,27.824166
2022-01-11,03:26:18.281620,3702.5,27.394506
2022-01-11,03:27:18.335768,3701.25,26.964782
2022-01-11,03:28:18.397718,3700.0,26.535122
2022-01-11,03:29:18.459669,3700.0,26.535122
2022-01-11,03:30:18.521641,3698.75,26.105462
2022-01-11,03:31:18.575757,3697.5,25.675738
2022-01-11,03:32:18.637695,3697.5,25.675738
2022-01-11,03:33:18.686586,3696.25,25.246078
2022-01-11,03:34:18.748526,3695.0,24.816354
2022-01-11,03:35:18.810457,3693.75,24.816354
2022-01-11,03:36:18.872402,3692.5,24.386694
2022-01-11,03:37:18.934359,3692.5,23.95697
2022-01-11,03:38:18.975778,3691.25,23.52731
2022-01-11,03:39:19.037726,3690.0,23.52731
2022-01-11,03:40:19.099677,3690.0,23.09765
2022-01-11,03:41:19.161636,3688.75,22.667926
2022-01-11,03:42:19.223572,3687.5,22.667926
2022-01-11,03:43:19.275767,3687.5,22.238266
2022-01-11,03:44:19.335733,3686.25,21.808542
2022-01-11,03:45:19.397601,3685.0,21.808542
2022-01-11,03:46:19.459451,3683.75,21.378882
2022-01-11,03:47:19.521307,3682.5,20.949158
2022-01-11,03:48:19.583154,3680.0,20.519498
2022-01-11,03:49:19.645065,3678.75,20.519498
2022-01-11,03:50:19.707005,3677.5,20.089838
2022-01-11,03:51:19.768945,3677.5,19.831978
2022-01-11,03:52:19.830833,3678.75,19.31248
2022-01-11,03:53:19.892756,3677.5,19.054684
2022-01-11,03:54:19.935777,3675.0,18.796824
2022-01-11,03:55:19.997752,3672.5,18.539028000000002
2022-01-11,03:56:20.059715,3672.5,18.277326
2022-01-11,03:57:20.121673,3671.25,18.01953
2022-01-11,03:58:20.129058,3667.5,17.76167
2022-01-11,03:59:20.175782,3670.0,17.503874
2022-01-11,04:00:20.226801,3670.0,17.242172
2022-01-11,04:01:20.255773,3666.25,16.984312
2022-01-11,04:02:20.317747,3662.5,16.46872
2022-01-11,04:03:20.379704,3668.75,16.207018
2022-01-11,04:04:20.441655,3665.0,15.949158
2022-01-11,04:05:20.503599,3667.5,15.691362
2022-01-11,04:06:20.565602,3666.25,15.433566
2022-01-11,04:07:20.575788,3665.0,15.171864
2022-01-11,04:08:20.637736,3663.75,14.914004
2022-01-11,04:09:20.699678,3663.75,14.656208
2022-01-11,04:10:20.761640,3662.5,14.398412
2022-01-11,04:11:20.823590,3662.5,14.13671
2022-01-11,04:12:20.885580,3661.25,13.87885
2022-01-11,04:13:20.947529,3660.0,13.621054
2022-01-11,04:14:20.975795,3660.0,13.363258
2022-01-11,04:15:21.037739,3658.75,13.363258
2022-01-11,04:16:21.099702,3657.5,13.101556
2022-01-11,04:17:21.135774,3657.5,12.843696
2022-01-11,04:18:21.179380,3656.25,12.5859
2022-01-11,04:19:21.241344,3655.0,12.328104
2022-01-11,04:20:21.303299,3655.0,12.066402
2022-01-11,04:21:21.313104,3653.75,11.808542
2022-01-11,04:22:21.375052,3652.5,11.550746
2022-01-11,04:23:21.437009,3652.5,11.29295
2022-01-11,04:24:21.498952,3651.25,11.031248
2022-01-11,04:25:21.560910,3650.0,10.773388
2022-01-11,04:26:21.615773,3650.0,10.515592
2022-01-11,04:27:21.677728,3650.0,10.515592
2022-01-11,04:28:21.739670,3648.75,10.257796
2022-01-11,04:29:21.801633,3647.5,9.99603
2022-01-11,04:30:21.855766,3647.5,9.738234
2022-01-11,04:31:21.917713,3646.25,9.480438
2022-01-11,04:32:21.979655,3645.0,9.222642
2022-01-11,04:33:22.041606,3645.0,8.960876
2022-01-11,04:34:22.095757,3643.75,8.960876
2022-01-11,04:35:22.157712,3642.5,8.581994
2022-01-11,04:36:22.219658,3642.5,8.335916
2022-01-11,04:37:22.281624,3642.5,8.210924
2022-01-11,04:38:22.335762,3641.25,7.964782
2022-01-11,04:39:22.397716,3640.0,7.843696
2022-01-11,04:40:22.459658,3640.0,7.597618
2022-01-11,04:41:22.521604,3640.0,7.472626
2022-01-11,04:42:22.575769,3638.75,7.226548
2022-01-11,04:43:22.637730,3637.5,7.105462
2022-01-11,04:44:22.699673,3637.5,6.980406
2022-01-11,04:45:22.761647,3636.25,6.734328
2022-01-11,04:46:22.815766,3635.0,6.613242
2022-01-11,04:47:22.877705,3635.0,6.48825
2022-01-11,04:48:22.939698,3635.0,6.367164
2022-01-11,04:49:22.975785,3633.75,6.242172
2022-01-11,04:50:23.037731,3632.5,5.99603
2022-01-11,04:51:23.099672,3632.5,5.910098
2022-01-11,04:52:23.161617,3631.25,5.828072
2022-01-11,04:53:23.223573,3630.0,5.656208
2022-01-11,04:54:23.285565,3630.0,5.570276
2022-01-11,04:55:23.347511,3630.0,5.48825
2022-01-11,04:56:23.409464,3628.75,5.402318
2022-01-11,04:57:23.471418,3628.75,5.316386
2022-01-11,04:58:23.533366,3627.5,5.148428
2022-01-11,04:59:23.595322,3627.5,5.062496
2022-01-11,05:00:23.657268,3627.5,4.9765
2022-01-11,05:01:23.719219,3626.25,4.890568
2022-01-11,05:02:23.775772,3625.0,4.808542
2022-01-11,05:03:23.837720,3625.0,4.72261
2022-01-11,05:04:23.899866,3625.0,4.72261
2022-01-11,05:05:23.955791,3623.75,4.636678
2022-01-11,05:06:24.015532,3622.5,4.550746
2022-01-11,05:07:24.075450,3622.5,4.46872
2022-01-11,05:08:24.137073,3622.5,4.382788
2022-01-11,05:09:24.193514,3620.0,4.382788
2022-01-11,05:10:24.255087,3615.0,4.296856
2022-01-11,05:11:24.316881,3615.0,4.210924
2022-01-11,05:12:24.378818,3612.5,4.128898
2022-01-11,05:13:24.440761,3612.5,4.128898
2022-01-11,05:14:24.495593,3610.0,4.042966
2022-01-11,05:15:24.557153,3607.5,3.95697
2022-01-11,05:16:24.618652,3607.5,3.95697
2022-01-11,05:17:24.680160,3607.5,3.871038
2022-01-11,05:18:24.735755,3615.0,3.789012
2022-01-11,05:19:24.797697,3612.5,3.789012
2022-01-11,05:20:24.859635,3615.0,3.70308
2022-01-11,05:21:24.921575,3607.5,3.6171480000000003
2022-01-11,05:22:24.975794,3607.5,3.6171480000000003
